ssn,name,severity,location_name,location_description
SG001,Gene Takavic,2,Cannabon,"Cinnabon, Cottonwood Mall, Omaha, Nebraska"
W001,Kim Wexler,2,"Hamlin, Hamlin & McGill","5C87+H8 Albuquerque, New Mexico, United States"
G000,Gus Fring,0,Los Pollos Hermanos,"2877+VF Albuquerque, New Mexico, United States"
E000,Elvis Presley,2,University of Alabama,"6F63+8G Tuscaloosa, Alabama, United States"
BJH,Bojack Horseman,1,UCLA Planetarium,"147 E 107th St, Los Angeles, California, United States"
SL0,Sarah Lynn,1,UCLA Planetarium,"147 E 107th St, Los Angeles, California, United States"
PC,Princess Carolyn,1,UCLA Planetarium,"147 E 107th St, Los Angeles, California, United States"
TC,Todd Chavez,1,UCLA Planetarium,"147 E 107th St, Los Angeles, California, United States"
BS,Barney Stinson,2,Maclaren's Pub,"Q2QF+87 New York, United States"
T999,Ted Mosby,2,Maclaren's Pub,"Q2QF+87 New York, United States"
RS,Robin Scherbatsky,0,Maclaren's Pub,"Q2QF+87 New York, United States"
